"filename", "language", "Razor", "C#", "XML", "comment", "blank", "total"
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\App.razor", "Razor", 3, 0, 0, 0, 0, 3
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Layout\MainLayout.razor", "Razor", 6, 0, 0, 0, 4, 10
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Layout\NavMenu.razor", "Razor", 1, 0, 0, 0, 0, 1
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Auth\Login.razor", "Razor", 5, 0, 0, 0, 0, 5
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Auth\Register.razor", "Razor", 34, 0, 0, 0, 3, 37
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Auth\VerifyRegister.razor", "Razor", 26, 0, 0, 0, 1, 27
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Data\DataManager.razor", "Razor", 52, 0, 0, 0, 10, 62
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Data\DataPreviewer.razor", "Razor", 57, 0, 0, 0, 17, 74
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Data\DataVisualizer.razor", "Razor", 59, 0, 0, 0, 17, 76
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Survey\OptionEditor.razor", "Razor", 10, 0, 0, 0, 3, 13
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Survey\QuestionEditor.razor", "Razor", 28, 0, 0, 0, 5, 33
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Survey\SurveyEditor.razor", "Razor", 117, 0, 0, 0, 17, 134
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Survey\SurveyManager.razor", "Razor", 72, 0, 0, 0, 12, 84
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Test.razor", "Razor", 3, 0, 0, 0, 3, 6
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\_Imports.razor", "Razor", 7, 0, 0, 0, -1, 6
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Program.cs", "C#", 0, 20, 0, 3, 0, 23
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\iWenJuan.Client.WorkSpace.csproj", "XML", 0, 0, 2, 0, 0, 2
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Extension\HttpClientExtension.cs", "C#", 0, 22, 0, 6, 8, 36
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\SurveyModels\Survey.cs", "C#", 0, 1, 0, 0, 0, 1
"Total", "-", 480, 43, 2, 9, 99, 633